"Status","Time(Seconds)","Position(Degrees)","Torque(Foot-Pounds)","Speed(d/s)","End Pnt 0","Pos Start","Pos End","Trq Start","Peak Trq Start","Peak Trq End","Half Peak Trq","Stim","Reaction Start","Target Found","Target End"
"5",0,92.1875,11.8309,-.1875,"0","","","","","","9","9","9","9","9"
"5",.01,92.1875,11.7573,-.125,"0","","","","","","","","","",""
"5",.02,92.1875,11.6455,-.125,"0","","","","","","","","","",""
"5",.03,92.1875,11.5038,-.0625,"0","","","","","","","","","",""
"5",.04,92.1875,11.3141,0,"0","","","","","","","","","",""
"5",.05,92.1875,11.1413,0,"0","","","","","","","","","",""
"5",.06,92.1875,10.9874,0,"0","","","","","","","","","",""
"5",.07,92.1875,10.8455,0,"0","","","","","","","","","",""
"5",.08,92.1875,10.726,0,"0","","","","","","","","","",""
"5",.09,92.1875,10.4898,0,"0","","","","","","","","","",""
"5",.1,92.1875,10.2663,0,"0","","","","","","","","","",""
"5",.11,92.1875,10.0736,0,"0","","","","","","","","","",""
"5",.12,92.1875,9.9264,0,"0","","","","","","","","","",""
"5",.13,92.1875,9.8428,0,"0","","","","","","","","","",""
"5",.14,92.1875,9.792,-.0625,"0","","","","","","","","","",""
"5",.15,92.1875,9.7647,-.125,"0","","","","","","","","","",""
"5",.16,92.1875,9.7574,-.125,"0","","","","","","","","","",""
"5",.17,92.1875,9.7556,-.125,"0","","","","","","","","","",""
"5",.18,92.1875,9.752,-.1875,"0","","","","","","","","","",""
"5",.19,92.1875,9.7465,-.1875,"0","","","","","","","","","",""
"5",.2,92.1875,9.732,-.125,"0","","","","","","","","","",""
"5",.21,92.1875,9.7029,-.0625,"0","","","","","","","","","",""
"5",.22,92.1875,9.6611,-.0625,"0","","","","","","","","","",""
"5",.23,92.1875,9.6139,-.0625,"0","","","","","","","","","",""
"5",.24,92.1875,9.5648,-.125,"0","","","","","","","","","",""
"5",.25,92.1875,9.5176,-.1875,"0","","","","","","","","","",""
"5",.26,92.1875,9.474,-.3125,"0","","","","","","","","","",""
"5",.27,92.1875,9.4376,-.3125,"0","","","","","","","","","",""
"5",.28,92.1875,9.4031,-.25,"0","","","","","","","","","",""
"5",.29,92.1875,9.3649,-.1875,"0","","","","","","","","","",""
"5",.3,92.1875,9.3231,-.125,"0","","","","","","","","","",""
"5",.31,92.1875,9.2741,-.125,"0","","","","","","","","","",""
"5",.32,92.1875,9.2105,-.0625,"0","","","","","","","","","",""
"5",.33,92.1875,9.1196,-.0625,"0","","","","","","","","","",""
"5",.34,92.1875,9.0106,-.0625,"0","","","","","","","","","",""
"5",.35,92.1875,8.8834,0,"0","","","","","","","","","",""
"5",.36,92.1875,8.7416,0,"0","","","","","","","","","",""
"5",.37,92.1875,8.5871,0,"0","","","","","","","","","",""
"5",.38,92.1875,8.4345,0,"0","","","","","","","","","",""
"5",.39,92.1875,8.2837,0,"0","","","","","","","","","",""
"5",.4,92.1875,8.1347,-.0625,"0","","","","","","","","","",""
"5",.41,92.1875,7.9947,-.0625,"0","","","","","","","","","",""
"5",.42,92.1875,7.8748,-.125,"0","","","","","","","","","",""
"5",.43,92.1875,7.7621,-.125,"0","","","","","","","","","",""
"5",.44,92.1875,7.6422,-.1875,"0","","","","","","","","","",""
"5",.45,92.1875,7.5186,-.125,"0","","","","","","","","","",""
"5",.46,92.1875,7.3878,-.125,"0","","","","","","","","","",""
"5",.47,92.1875,7.2406,-.0625,"0","","","","","","","","","",""
"5",.48,92.1875,7.0589,-.0625,"0","","","","","","","","","",""
"5",.49,92.1875,6.8572,0,"0","","","","","","","","","",""
"5",.5,92.1875,6.63,0,"0","","","","","","","","","",""
"5",.51,92.1875,6.3538,0,"0","","","","","","","","","",""
"5",.52,92.1875,6.0503,0,"0","","","","","","","","","",""
"5",.53,92.1875,5.7305,0,"0","","","","","","","","","",""
"5",.54,92.1875,5.3888,0,"0","","","","","","","","","",""
"5",.55,92.1875,5.0054,0,"0","","","","","","","","","",""
"5",.56,92.1875,4.6038,.125,"0","","","","","","","","","",""
"5",.57,92.1875,4.2004,.1875,"0","","","","","","","","","",""
"5",.58,92.1875,3.7897,.3125,"0","","","","","","","","","",""
"5",.59,92.1875,3.3645,.25,"0","","","","","","","","","",""
"5",.6,92.1875,2.9719,.1875,"0","","","","","","","","","",""
"5",.61,92.1875,2.5976,.1875,"0","","","","","","","","","",""
"5",.62,92.1875,2.2378,.125,"0","","","","","","","","","",""
"1",.63,92.1875,1.8816,.1875,"0","","","","","","","","","",""
"1",.64,92.1875,1.5363,.4375,"0","","","","","","","","","",""
"1",.65,92.1875,1.1562,.875,"0","","","","","","","","","",""
"1",.66,92.1875,.6815,1.9375,"0","","","","","","","","","",""
"1",.67,92.125,.1383,3,"0","","","0","","","","","","",""
"1",.68,92.125,.4295,4.3125,"0","","","","","","","","","",""
"1",.69,92.0625,1.0639,6.25,"0","","","","","","","","","",""
"1",.7,91.9375,1.7703,10.5,"0","","","","","","","","","",""
"1",.71,91.8125,2.4768,14,"0","","","","","","","","","",""
"1",.72,91.6875,3.1634,18,"0","0","","","","","","","","",""
"1",.73,91.375,3.8676,24.4375,"0","","","","","","","","","",""
"1",.74,91.1875,4.4842,29.125,"0","","","","","","","","","",""
"1",.75,90.875,5.021,34.0625,"0","","","","","","","","","",""
"1",.76,90.5625,5.4959,38.875,"0","","","","","","","","","",""
"1",.77,90,6.0259,44.375,"0","","","","","","","","","",""
"1",.78,89.5625,6.5429,47.3125,"0","","","","","","","","","",""
"1",.79,89.1875,7.0953,49.75,"0","","","","","","","","","",""
"1",.8,88.6875,7.8117,51.625,"0","","","","","","","","","",""
"1",.81,88,8.8353,53.875,"0","","","","","","","","","",""
"1",.82,87.5625,9.9694,55.0625,"0","","","","","","","","","",""
"1",.83,87.0625,11.3047,56.0625,"0","","","","","","","","","",""
"1",.84,86.3125,12.9844,57.3125,"0","","","","","","","","","",""
"1",.85,85.75,14.7939,57.8125,"0","","","","","","","","","",""
"1",.86,85.25,16.7188,58.25,"0","","","","","","","","","",""
"1",.87,84.75,18.7656,58.6875,"0","","","","","","","","","",""
"1",.88,84,21.0819,59.0625,"0","","","","","","","","","",""
"1",.89,83.4375,23.4316,59.3125,"0","","","","","","","","","",""
"1",.9,82.9375,25.7347,59.625,"0","","","","","","","","","",""
"1",.91,82.4375,28.0813,59.75,"0","","","","","","","","","",""
"1",.92,81.625,30.6306,59.875,"0","","","","","","","","","",""
"1",.93,81.125,32.986,59.9375,"0","","","","","","","","","",""
"1",.94,80.5625,35.3329,59.9375,"0","","","","","","","","","",""
"1",.95,79.75,37.8011,60.125,"0","","","","","","","","","",""
"1",.96,79.25,40.1758,60.25,"0","","","","","","","","","",""
"1",.97,78.6875,42.4545,60.1875,"0","","","","","","","","","",""
"1",.98,78.1875,44.7159,60.25,"0","","","","","","","","","",""
