"Status","Time(Seconds)","Position(Degrees)","Torque(Foot-Pounds)","Speed(d/s)","End Pnt 0","Pos Start","Pos End","Trq Start","Peak Trq Start","Peak Trq End","Half Peak Trq","Stim","Reaction Start","Target Found","Target End"
"1",0,103.0625,4.1453,0,"","","","","","","9","9","9","9","9"
"1",.01,103.0625,4.3419,.125,"","","","","","","","","","",""
"1",.02,103.0625,4.4075,.1875,"","","","","","","","","","",""
"1",.03,103.0625,4.2436,.0625,"","","","","","","","","","",""
"1",.04,103.0625,4.0142,0,"","","","","","","","","","",""
"1",.05,103.0625,3.7029,-.0625,"","","","","","","","","","",""
"1",.06,103.0625,3.3752,-.0625,"","","","","","","","","","",""
"1",.07,103.0625,2.9165,0,"","","","","","","","","","",""
"1",.08,103.0625,2.7035,0,"","","","","","","","","","",""
"1",.09,103.0625,2.6051,0,"","","","","","","","","","",""
"1",.1,103.0625,2.6543,0,"","","","","","","","","","",""
"1",.11,103.0625,2.9656,.4375,"","","","","","","","","","",""
"5",.12,103.0625,3.2605,.9375,"","","","","","","","","","",""
"5",.13,103.125,6.9064,1.4375,"0","","","","","","","","","",""
"1",.14,103.125,6.9465,1.1875,"0","","","","","","","","","",""
"5",.15,103.125,7.0666,.6875,"0","","","","","","","","","",""
"5",.16,103.125,7.2505,.5625,"0","","","","","","","","","",""
"5",.17,103.125,7.4544,.625,"0","","","","","","","","","",""
"5",.18,103.125,7.6619,.625,"0","","","","","","","","","",""
"5",.19,103.125,7.8549,.5,"0","","","","","","","","","",""
"5",.2,103.125,8.0078,.375,"0","","","","","","","","","",""
"5",.21,103.125,8.1225,.3125,"0","","","","","","","","","",""
"5",.22,103.125,8.1935,.25,"0","","","","","","","","","",""
"5",.23,103.125,8.1899,.1875,"0","","","","","","","","","",""
"5",.24,103.125,8.128,.125,"0","","","","","","","","","",""
"5",.25,103.125,8.0406,.0625,"0","","","","","","","","","",""
"5",.26,103.125,7.9587,.0625,"0","","","","","","","","","",""
"5",.27,103.125,7.8858,0,"0","","","","","","","","","",""
"5",.28,103.125,7.8239,0,"0","","","","","","","","","",""
"5",.29,103.125,7.7639,0,"0","","","","","","","","","",""
"5",.3,103.125,7.7038,0,"0","","","","","","","","","",""
"5",.31,103.125,7.651,0,"0","","","","","","","","","",""
"5",.32,103.125,7.6055,0,"0","","","","","","","","","",""
"5",.33,103.125,7.5618,0,"0","","","","","","","","","",""
"5",.34,103.125,7.5217,0,"0","","","","","","","","","",""
"5",.35,103.125,7.4689,0,"0","","","","","","","","","",""
"5",.36,103.125,7.3943,0,"0","","","","","","","","","",""
