"Status","Time(Seconds)","Position(Degrees)","Torque(Newton-Meters)","Speed(deg/sec)"
"0001","0.000","69.313","3.321","0.000"
"0001","0.010","69.313","3.321","0.000"
"0001","0.020","69.313","3.321","0.000"
"0001","0.030","69.313","3.321","0.000"
"0001","0.040","69.313","3.321","0.000"
"0001","0.050","69.313","3.321","0.000"
"0001","0.060","69.313","3.321","0.000"
"0001","0.070","69.313","3.321","0.000"
"0001","0.080","69.313","3.321","0.000"
"0001","0.090","69.313","3.321","0.000"
"0001","0.100","69.313","3.321","0.000"
"0001","0.110","69.313","3.321","0.000"
"0001","0.120","69.313","3.321","0.000"
"0001","0.130","69.313","3.321","0.000"
"0001","0.140","69.313","3.321","0.000"
"0001","0.150","69.313","3.321","0.000"
"0001","0.160","69.313","3.321","0.000"
"0001","0.170","69.313","3.321","0.000"
"0001","0.180","69.313","3.321","0.000"
"0001","0.190","69.313","3.321","0.000"
"0001","0.200","69.313","3.321","0.000"
"0001","0.210","69.313","3.321","0.000"
"0001","0.220","69.313","3.321","0.000"
"0001","0.230","69.313","3.321","0.000"
"0001","0.240","69.313","3.321","0.000"
"0001","0.250","69.313","3.321","0.000"
"0001","0.260","69.313","3.321","0.000"
"0001","0.270","69.313","3.321","0.000"
"0001","0.280","69.313","3.321","0.000"
"0001","0.290","69.313","3.321","0.000"
"0001","0.300","69.313","3.321","0.000"
"0001","0.310","69.313","3.321","0.000"
"0001","0.320","69.313","3.321","0.000"
"0001","0.330","69.313","3.321","0.000"
"0001","0.340","69.313","3.321","0.000"
"0001","0.350","69.313","3.321","0.000"
"0001","0.360","69.313","3.321","0.000"
"0001","0.370","69.313","3.321","0.000"
"0001","0.380","69.313","3.321","0.000"
"0001","0.390","69.313","3.321","0.000"
"0001","0.400","69.313","3.321","0.000"
"0001","0.410","69.313","3.321","0.000"
"0001","0.420","69.313","3.321","0.000"
"0001","0.430","69.313","3.321","0.000"
"0001","0.440","69.313","3.321","0.000"
"0001","0.450","69.313","3.321","0.000"
"0001","0.460","69.313","3.321","0.000"
"0001","0.470","69.313","3.321","0.000"
"0001","0.480","69.313","3.321","0.000"
"0001","0.490","69.313","3.321","0.000"
"0001","0.500","69.313","3.321","0.000"
"0001","0.510","69.313","3.321","0.000"
"0001","0.520","69.313","3.321","0.000"
"0001","0.530","69.313","3.321","0.000"
"0001","0.540","69.313","3.321","0.000"
"0001","0.550","69.313","3.321","0.000"
"0001","0.560","69.313","3.321","0.000"
"0001","0.570","69.313","3.321","0.000"
"0001","0.580","69.313","3.321","0.000"
"0001","0.590","69.313","3.321","0.000"
"0001","0.600","69.313","3.321","0.000"
"0001","0.610","69.313","3.321","0.000"
"0001","0.620","69.313","3.321","0.000"
"0001","0.630","69.313","3.321","0.000"
"0001","0.640","69.313","3.321","0.000"
"0001","0.650","69.313","3.321","0.000"
"0001","0.660","69.313","3.321","0.000"
"0001","0.670","69.313","3.321","0.000"
"0001","0.680","69.313","3.321","0.000"
"0001","0.690","69.313","3.321","0.000"
"0001","0.700","69.313","3.321","0.000"
"0001","0.710","69.313","3.321","0.000"
"0001","0.720","69.313","3.321","0.000"
"0001","0.730","69.313","3.321","0.000"
"0001","0.740","69.313","3.321","0.000"
"0001","0.750","69.313","3.321","0.000"
"0001","0.760","69.313","3.321","0.000"
"0001","0.770","69.313","3.321","0.000"
"0001","0.780","69.313","3.321","0.000"
"0001","0.790","69.313","3.321","0.000"
"0001","0.800","69.313","3.321","0.000"
"0001","0.810","69.313","3.321","0.000"
"0001","0.820","69.313","3.321","0.000"
"0001","0.830","69.313","3.321","0.000"
"0001","0.840","69.313","3.321","0.000"
"0001","0.850","69.313","3.321","0.000"
"0001","0.860","69.313","3.321","0.000"
"0001","0.870","69.313","3.321","0.000"
"0001","0.880","69.313","3.321","0.000"
"0001","0.890","69.313","3.321","0.000"
"0001","0.900","69.313","3.321","0.000"
"0001","0.910","69.313","3.321","0.000"
"0001","0.920","69.313","3.343","0.000"
"0001","0.930","69.313","3.365","0.000"
"0001","0.940","69.313","3.410","0.000"
"0001","0.950","69.313","3.433","0.000"
"0001","0.960","69.313","3.455","0.000"
"0001","0.970","69.313","3.634","0.000"
"0001","0.980","69.313","5.423","-0.625"
"0001","0.990","69.313","6.989","-1.125"
"0001","1.000","69.313","9.002","-1.188"
