"Status","Time(Seconds)","Position(Degrees)","Torque(Foot-Pounds)","Speed(d/s)","End Pnt 0","Pos Start","Pos End","Trq Start","Peak Trq Start","Peak Trq End","Half Peak Trq","Stim","Reaction Start","Target Found","Target End"
"5",0,92.1875,7.3169,.0625,"0","","","","","","9","9","9","9","9"
"5",.01,92.1875,7.2597,.0625,"0","","","","","","","","","",""
"5",.02,92.1875,7.2188,.0625,"0","","","","","","","","","",""
"5",.03,92.1875,7.137,0,"0","","","","","","","","","",""
"5",.04,92.1875,7.0825,0,"0","","","","","","","","","",""
"5",.05,92.1875,7.0443,0,"0","","","","","","","","","",""
"5",.06,92.1875,7.0171,0,"0","","","","","","","","","",""
"5",.07,92.1875,6.9789,0,"0","","","","","","","","","",""
"5",.08,92.1875,6.9244,0,"0","","","","","","","","","",""
"5",.09,92.1875,6.8481,0,"0","","","","","","","","","",""
"5",.1,92.1875,6.7608,0,"0","","","","","","","","","",""
"5",.11,92.1875,6.6409,0,"0","","","","","","","","","",""
"5",.12,92.1875,6.521,0,"0","","","","","","","","","",""
"5",.13,92.1875,6.401,0,"0","","","","","","","","","",""
"5",.14,92.1875,6.2811,0,"0","","","","","","","","","",""
"5",.15,92.1875,6.1557,0,"0","","","","","","","","","",""
"5",.16,92.1875,6.0194,0,"0","","","","","","","","","",""
"5",.17,92.1875,5.894,0,"0","","","","","","","","","",""
"5",.18,92.1875,5.7632,0,"0","","","","","","","","","",""
"5",.19,92.1875,5.6542,0,"0","","","","","","","","","",""
"5",.2,92.1875,5.5778,0,"0","","","","","","","","","",""
"5",.21,92.1875,5.5342,0,"0","","","","","","","","","",""
"5",.22,92.1875,5.4906,0,"0","","","","","","","","","",""
"5",.23,92.1875,5.4415,0,"0","","","","","","","","","",""
"5",.24,92.1875,5.3816,0,"0","","","","","","","","","",""
"5",.25,92.1875,5.3161,0,"0","","","","","","","","","",""
"5",.26,92.1875,5.2507,0,"0","","","","","","","","","",""
"5",.27,92.1875,5.1962,0,"0","","","","","","","","","",""
"5",.28,92.1875,5.1581,0,"0","","","","","","","","","",""
"5",.29,92.1875,5.1253,0,"0","","","","","","","","","",""
"5",.3,92.1875,5.0926,0,"0","","","","","","","","","",""
"5",.31,92.1875,5.0545,0,"0","","","","","","","","","",""
"5",.32,92.1875,5.0163,0,"0","","","","","","","","","",""
"5",.33,92.1875,4.9672,0,"0","","","","","","","","","",""
"5",.34,92.1875,4.9236,0,"0","","","","","","","","","",""
"5",.35,92.1875,4.88,0,"0","","","","","","","","","",""
"5",.36,92.1875,4.8419,0,"0","","","","","","","","","",""
"5",.37,92.1875,4.8037,0,"0","","","","","","","","","",""
"5",.38,92.1875,4.7655,0,"0","","","","","","","","","",""
"5",.39,92.1875,4.7274,0,"0","","","","","","","","","",""
"5",.4,92.1875,4.6783,0,"0","","","","","","","","","",""
"5",.41,92.1875,4.6292,0,"0","","","","","","","","","",""
"5",.42,92.1875,4.5911,0,"0","","","","","","","","","",""
"5",.43,92.1875,4.5747,0,"0","","","","","","","","","",""
"5",.44,92.1875,4.5584,0,"0","","","","","","","","","",""
"5",.45,92.1875,4.542,0,"0","","","","","","","","","",""
"5",.46,92.1875,4.5202,0,"0","","","","","","","","","",""
"5",.47,92.1875,4.5039,0,"0","","","","","","","","","",""
"5",.48,92.1875,4.4875,0,"0","","","","","","","","","",""
"5",.49,92.1875,4.4766,0,"0","","","","","","","","","",""
"5",.5,92.1875,4.4657,0,"0","","","","","","","","","",""
"5",.51,92.1875,4.4548,0,"0","","","","","","","","","",""
"5",.52,92.1875,4.4439,0,"0","","","","","","","","","",""
"5",.53,92.1875,4.4275,0,"0","","","","","","","","","",""
"5",.54,92.1875,4.4112,0,"0","","","","","","","","","",""
"5",.55,92.1875,4.3785,0,"0","","","","","","","","","",""
"5",.56,92.1875,4.3458,0,"0","","","","","","","","","",""
"5",.57,92.1875,4.3076,0,"0","","","","","","","","","",""
"5",.58,92.1875,4.2694,0,"0","","","","","","","","","",""
"5",.59,92.1875,4.2367,0,"0","","","","","","","","","",""
"5",.6,92.1875,4.2095,0,"0","","","","","","","","","",""
"5",.61,92.1875,4.1931,0,"0","","","","","","","","","",""
"5",.62,92.1875,4.1713,0,"0","","","","","","","","","",""
"5",.63,92.1875,4.144,0,"0","","","","","","","","","",""
"5",.64,92.1875,4.1113,0,"0","","","","","","","","","",""
"5",.65,92.1875,4.0841,0,"0","","","","","","","","","",""
"5",.66,92.1875,4.0568,0,"0","","","","","","","","","",""
"5",.67,92.1875,4.0296,0,"0","","","","","","","","","",""
"5",.68,92.1875,3.9968,0,"0","","","","","","","","","",""
"5",.69,92.1875,3.9587,0,"0","","","","","","","","","",""
"5",.7,92.1875,3.9096,0,"0","","","","","","","","","",""
"5",.71,92.1875,3.8442,0,"0","","","","","","","","","",""
"5",.72,92.1875,3.7515,0,"0","","","","","","","","","",""
"5",.73,92.1875,3.5716,0,"0","","","","","","","","","",""
"5",.74,92.1875,3.3099,0,"0","","","","","","","","","",""
"5",.75,92.1875,2.9556,.0625,"0","","","","","","","","","",""
"5",.76,92.1875,2.5794,.1875,"0","","","","","","","","","",""
"5",.77,92.1875,2.1651,.1875,"0","","","","","","","","","",""
"1",.78,92.1875,1.7726,.125,"0","","","","","","","","","",""
