"Status","Time(Seconds)","Position(Degrees)","Torque(Foot-Pounds)","Speed(d/s)","End Pnt 0","Pos Start","Pos End","Trq Start","Peak Trq Start","Peak Trq End","Half Peak Trq","Stim","Reaction Start","Target Found","Target End"
"1",0,103.0625,5.6199,0,"","","","","","","9","9","9","9","9"
"1",.01,103.0625,5.3905,.125,"","","","","","","","","","",""
"1",.02,103.0625,5.3905,.5,"","","","","","","","","","",""
"1",.03,103.0625,5.4397,.5625,"","","","","","","","","","",""
"1",.04,103.0625,5.4233,.6875,"","","","","","","","","","",""
"1",.05,103.0625,5.2758,.8125,"","","","","","","","","","",""
"1",.06,103.0625,4.8498,.8125,"","","","","","","","","","",""
"1",.07,103.0625,4.4566,.875,"","","","","","","","","","",""
"1",.08,103.0625,4.0142,.8125,"","","","","","","","","","",""
"1",.09,103.0625,3.5718,.75,"","","","","","","","","","",""
"5",.1,103.0625,3.0475,.75,"","","","","","","","","","",""
"1",.11,103.125,2.8509,.75,"","","","","","","","","","",""
"5",.12,103.125,2.9165,.5625,"","","","","","","","","","",""
"5",.13,103.125,3.3261,.625,"","","","","","","","","","",""
"5",.14,103.125,3.6046,.6875,"","","","","","","","","","",""
"5",.15,103.125,3.8831,.75,"","","","","","","","","","",""
"5",.16,103.125,4.1453,.625,"","","","","","","","","","",""
"5",.17,103.1875,7.9638,.5,"0","","","","","","","","","",""
"5",.18,103.1875,8.1331,.375,"0","","","","","","","","","",""
"5",.19,103.1875,8.226,.3125,"0","","","","","","","","","",""
"5",.2,103.1875,8.2587,.25,"0","","","","","","","","","",""
"5",.21,103.1875,8.2587,.1875,"0","","","","","","","","","",""
"5",.22,103.1875,8.2314,.125,"0","","","","","","","","","",""
"5",.23,103.1875,8.1659,.1875,"0","","","","","","","","","",""
"5",.24,103.1875,8.0239,.1875,"0","","","","","","","","","",""
"5",.25,103.1875,7.8218,.1875,"0","","","","","","","","","",""
"5",.26,103.1875,7.5761,.125,"0","","","","","","","","","",""
"5",.27,103.1875,7.3412,.125,"0","","","","","","","","","",""
"5",.28,103.1875,7.0845,.0625,"0","","","","","","","","","",""
"5",.29,103.1875,6.8606,.0625,"0","","","","","","","","","",""
"5",.3,103.1875,6.6804,0,"0","","","","","","","","","",""
"5",.31,103.1875,6.5657,0,"0","","","","","","","","","",""
"5",.32,103.1875,6.4619,0,"0","","","","","","","","","",""
"5",.33,103.1875,6.3527,.0625,"0","","","","","","","","","",""
"5",.34,103.1875,6.2489,.125,"0","","","","","","","","","",""
"5",.35,103.1875,6.1342,.1875,"0","","","","","","","","","",""
"5",.36,103.1875,6.0304,.1875,"0","","","","","","","","","",""
"5",.37,103.1875,5.9158,.125,"0","","","","","","","","","",""
"5",.38,103.1875,5.812,.125,"0","","","","","","","","","",""
"5",.39,103.1875,5.6809,.0625,"0","","","","","","","","","",""
"5",.4,103.1875,5.5553,.0625,"0","","","","","","","","","",""
"5",.41,103.1875,5.4406,.0625,"0","","","","","","","","","",""
"5",.42,103.1875,5.3641,0,"0","","","","","","","","","",""
"5",.43,103.1875,5.2931,0,"0","","","","","","","","","",""
"5",.44,103.1875,5.2276,0,"0","","","","","","","","","",""
"5",.45,103.1875,5.1566,0,"0","","","","","","","","","",""
"5",.46,103.1875,5.0692,0,"0","","","","","","","","","",""
"5",.47,103.1875,4.9654,0,"0","","","","","","","","","",""
"5",.48,103.1875,4.8398,0,"0","","","","","","","","","",""
"5",.49,103.1875,4.7142,0,"0","","","","","","","","","",""
"5",.5,103.1875,4.5722,0,"0","","","","","","","","","",""
"5",.51,103.1875,4.4411,0,"0","","","","","","","","","",""
"5",.52,103.1875,4.3265,0,"0","","","","","","","","","",""
"5",.53,103.1875,4.25,0,"0","","","","","","","","","",""
"5",.54,103.1875,4.1735,.0625,"0","","","","","","","","","",""
"5",.55,103.1875,4.1025,.0625,"0","","","","","","","","","",""
"5",.56,103.1875,4.0042,.0625,"0","","","","","","","","","",""
"5",.57,103.1875,3.8351,.0625,"0","","","","","","","","","",""
"5",.58,103.1875,3.5787,0,"0","","","","","","","","","",""
"5",.59,103.1875,3.2025,-.1875,"0","","","","","","","","","",""
"1",.6,103.125,2.6722,-.6875,"0","","","","","","","","","",""
"1",.61,103.125,1.8762,-1.8125,"0","","","","","","","","","",""
"1",.62,103.125,.9822,-2.875,"0","","","","","","","","","",""
"1",.63,103.125,.0772,-4.0625,"0","","","0","","","","","","",""
"1",.64,103.0625,.6876,-5.875,"0","","","","","","","","","",""
"1",.65,102.9375,1.4322,-9.9375,"0","","","","","","","","","",""
"1",.66,102.875,1.9952,-13.5,"0","","","","","","","","","",""
"1",.67,102.75,2.4127,-17.5625,"0","0","","","","","","","","",""
"1",.68,102.4375,2.7532,-24.4375,"0","","","","","","","","","",""
"1",.69,102.1875,3.0813,-29.5625,"0","","","","","","","","","",""
"1",.7,101.9375,3.464,-35.0625,"0","","","","","","","","","",""
"1",.71,101.5625,3.97,-41.0625,"0","","","","","","","","","",""
"1",.72,101,4.781,-51.25,"0","","","","","","","","","",""
"1",.73,100.5,5.727,-58.9375,"0","","","","","","","","","",""
"1",.74,99.9375,6.8275,-67.5625,"0","","","","","","","","","",""
"1",.75,99.3125,7.9574,-77.0625,"0","","","","","","","","","",""
"1",.76,98.1875,9.5057,-93.125,"0","","","","","","","","","",""
"1",.77,97.3125,11.0528,-105.1875,"0","","","","","","","","","",""
"1",.78,96.3125,12.7134,-118.125,"0","","","","","","","","","",""
"1",.79,94.625,14.8485,-134.875,"0","","","","","","","","","",""
